8.89403,8.69189,-7.99642,-0.181737,-0.00826076,-0.489964
8.89403,8.35726,-8.07745,-0.485722,-0.0456613,-0.55173
8.89403,8.0355,-7.98302,-0.774368,-0.105288,-0.625467
8.71366,7.55271,-7.54913,-1.0352,-0.184998,-0.708348
8.24221,6.80863,-6.69899,-1.25325,-0.281498,-0.796666
7.71373,6.03837,-5.72257,-1.42532,-0.391248,-0.887463
6.41827,4.5603,-4.05017,-1.52638,-0.508779,-0.973806
5.63214,3.62887,-2.94384,-1.58095,-0.630512,-1.05527
4.83323,2.721,-1.96115,-1.59559,-0.753372,-1.13075
4.04964,1.86282,-1.13061,-1.57769,-0.874854,-1.19264
3.7057,1.44522,-0.653688,-1.53287,-1.02354,-1.26037
4.04964,1.72028,-0.551088,-1.49507,-1.13866,-1.3064
4.04964,1.65404,-0.294611,-1.44886,-1.25023,-1.34349
3.32815,0.896646,-0.0236592,-1.39399,-1.35756,-1.37138
3.7057,1.22515,0.138266,-1.33499,-1.46036,-1.40127
4.04964,1.50868,0.401755,-1.26813,-1.558,-1.41857
3.7057,1.11815,0.448579,-1.19946,-1.65396,-1.4439
3.7057,1.0751,0.577777,-1.13104,-1.74105,-1.45966
3.64283,0.973254,0.63764,-1.06294,-1.8229,-1.47985
3.2339,0.542597,0.410372,-1.00622,-1.90037,-1.50437
3.2339,0.504615,0.455776,-0.90388,-2.02692,-1.554
3.2339,0.485187,0.464007,-0.851217,-2.09246,-1.59172
3.2339,0.466508,0.461301,-0.800685,-2.15411,-1.63636
3.2339,0.448547,0.448547,-0.752589,-2.21206,-1.68847
2.43208,-0.339672,-0.335944,-0.736549,-2.26878,-1.75093
2.43208,-0.313857,-0.284903,-0.702223,-2.37552,-1.90022
1.19738,-1.48893,-1.24855,-0.723257,-2.43121,-1.99214
1.45652,-1.18245,-0.885002,-0.729484,-2.48738,-2.09549
0.896277,-1.63464,-0.936565,-0.742323,-2.57943,-2.27943
0.130396,-2.30811,-1.03103,-0.753438,-2.63744,-2.40355
-0.878087,-3.1889,-1.00256,-0.76303,-2.69619,-2.53158
-1.29136,-3.46349,-0.569732,-0.755588,-2.75437,-2.66824
-1.74874,-3.76992,-0.0971064,-0.730236,-2.8106,-2.79711
-2.47643,-4.32445,0.555473,-0.680736,-2.86302,-2.93027
-4.15146,-5.76849,1.53962,-0.595252,-2.90885,-3.0486
4.44835,2.7223,-1.0984,-0.614624,-2.95618,-3.16744
