TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170121_185059|28597|20|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|120|204|82,200973|11,794339|100,000000|88,205661|346,234175|0,043451|-0,572857|-0,616308|-21,099771|-4,898577|39,521994|
20170121_185059|28605|20|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|7,580033|50,000000|42,419967|6802627717570458900000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|28704|22|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|120|204|82,200973|0,000000|100,000000|100,000000|395,470750|0,043451|-0,572857|-0,616308|-21,099976|-2,436964|41,984039|
20170121_185059|28713|22|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185059|28813|24|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|120|204|82,200973|0,000000|100,000000|100,000000|398,804083|0,043451|-0,572857|-0,616308|-21,099997|-2,270319|42,150728|
20170121_185059|28820|24|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|28922|26|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|122|204|80,230917|18,348624|100,000000|81,651376|330,113461|-0,129703|-0,592558|-0,462855|-15,846427|-0,174776|33,186123|
20170121_185059|28929|26|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|29043|28|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|124|205|78,089692|18,633900|100,000000|81,366100|331,715373|-0,214061|-0,613970|-0,399910|-13,691377|2,173793|30,997745|
20170121_185059|29049|28|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|29184|30|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|128|204|74,330344|28,832906|100,000000|71,167094|294,393365|-0,482513|-0,651564|-0,169050|-5,787717|8,627334|20,812002|
20170121_185059|29192|30|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|29286|32|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|201|218|131|203|71,589105|31,309680|100,000000|68,690320|287,043505|-0,726642|-0,678976|0,047666|1,631819|16,069880|12,634471|
20170121_185059|29294|32|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|29405|34|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|202|213|133|201|70,035705|23,768295|100,000000|76,231705|318,935423|-0,902507|-0,650528|0,251979|8,626702|25,027510|6,866033|
20170121_185059|29413|34|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185059|29497|36|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|202|213|134|201|69,050706|10,869565|100,000000|89,130435|372,107938|-0,970746|-0,660378|0,310368|10,625774|29,790422|7,420372|
20170121_185059|29506|36|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185100|29623|38|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|202|213|135|200|68,249542|11,223917|100,000000|88,776083|373,688014|-1,016489|-0,668389|0,348099|11,917553|31,229193|6,139608|
20170121_185100|29630|38|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185100|29733|40|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|202|213|136|199|67,468511|12,856487|100,000000|87,143513|370,238881|-0,902507|-0,676200|0,226307|7,747921|26,667651|10,356238|
20170121_185100|29741|40|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185100|29855|42|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|202|213|137|198|66,708320|11,591914|100,000000|88,408086|378,107495|-0,785398|-0,683802|0,101597|3,478320|22,566764|15,243985|
20170121_185100|29863|42|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185100|30005|44|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|202|213|138|196|66,219333|15,007168|100,000000|84,992832|367,648519|-0,610726|-0,688691|-0,077966|-2,669165|15,572778|21,192074|
20170121_185100|30014|44|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185100|30112|46|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|203|209|140|195|64,536811|20,704333|100,000000|79,295667|348,118493|-0,482513|-0,672006|-0,189493|-6,487460|10,577019|24,234830|
20170121_185100|30120|46|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185100|30240|48|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|203|209|142|194|62,817195|17,469281|100,000000|82,530719|363,460255|-0,348771|-0,689203|-0,340432|-11,654992|5,904600|30,441426|
20170121_185100|30249|48|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185100|30341|50|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|203|209|144|194|60,876925|19,801980|100,000000|80,198020|357,054722|-0,266252|-0,708605|-0,442353|-15,144412|1,911250|33,794222|
20170121_185100|30350|50|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185100|30485|52|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|203|209|145|193|60,166436|9,820928|100,000000|90,179072|398,906666|-0,348771|-0,715710|-0,366939|-12,562594|6,721550|33,169117|
20170121_185100|30494|52|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185101|30588|54|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|203|209|147|193|58,240879|19,417476|100,000000|80,582524|364,243252|-0,482513|-0,734966|-0,252452|-8,643035|9,114231|27,310094|
20170121_185101|30598|54|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,919567|0,285734|2,205302|0,000000|255,000000|255,000000|
20170121_185101|30692|56|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|204|205|151|191|54,817880|43,001307|100,000000|56,998693|274,355597|-0,726642|-0,733591|-0,006949|-0,237991|13,467263|13,968297|
20170121_185101|30701|56|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
20170121_185101|30802|58|0,000000|1|CarroTeste|1|circulo_r120_xc320_yc240|204|205|153|190|53,160135|20,327891|100,000000|79,672109|365,255636|-0,844154|-0,750168|0,093986|3,217653|21,649785|14,875779|
20170121_185101|30811|58|0,000000|1|CarroTeste2|1|circulo_r120_xc320_yc240|217|176|104|111|130,361037|0,000000|50,000000|50,000000|8018190906287109700000000,000000|-1,866237|0,285734|2,151972|0,000000|255,000000|255,000000|
