TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170425_174028|19972|131|22.000000|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|238|165|0.000000|0.000000|0.000000|0.000000|0.000000|-1696.530449|238.000000|188.421408|-49.578592|0.000000|-84.826522|-84.826522|
20170425_174028|19973|131|22.000000|1|CarroTeste3|0|circulo_r60_xc130_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170425_174028|19979|131|22.000000|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|165|0.000000|0.000000|0.000000|0.000000|0.000000|-2201909.827525|64536.000000|188.443057|-64347.556943|0.000000|-255.000000|-255.000000|
20170425_174028|20040|133|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|239|165|0.000000|0.000000|0.000000|0.000000|0.000000|-1717.943770|239.000000|188.664908|-50.335092|0.000000|-85.897188|-85.897188|
20170425_174028|20041|133|12.987013|1|CarroTeste3|0|circulo_r60_xc130_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170425_174028|20044|133|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|165|0.000000|0.000000|0.000000|0.000000|0.000000|-2196183.256653|64536.000000|188.674899|-64347.325101|0.000000|-255.000000|-255.000000|
20170425_174028|20118|135|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|238|165|0.000000|0.000000|0.000000|0.000000|0.000000|-1675.356063|238.000000|188.912716|-49.087284|0.000000|-83.767803|-83.767803|
20170425_174028|20120|135|12.987013|1|CarroTeste3|0|circulo_r60_xc130_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170425_174028|20122|135|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|165|0.000000|0.000000|0.000000|0.000000|0.000000|-2196174.934145|64536.000000|188.924752|-64347.075248|0.000000|-255.000000|-255.000000|
20170425_174028|20195|137|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|239|165|0.000000|0.000000|0.000000|0.000000|0.000000|-1702.065924|239.000000|189.130127|-49.869873|0.000000|-85.103296|-85.103296|
