TimeStamp|Ticks|FrameNum|FPS|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|angAtual|angDesejado|erroAng|
20170115_124553|20205|71|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|20333|72|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124553|20478|73|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|20606|74|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|20746|75|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|20891|76|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21013|77|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21145|78|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21280|79|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21408|80|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124554|21535|81|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|21682|82|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|21814|83|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|21938|84|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|22083|85|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|22208|86|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|22333|87|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124555|22476|88|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|22608|89|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|22738|90|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|22891|91|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|23023|92|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|23155|93|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|23330|94|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|23436|95|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124556|23543|96|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|23687|97|7,042254|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|23806|98|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|23935|99|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|24078|100|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|24205|101|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|24332|102|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124557|24476|103|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|24605|104|7,751938|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|24734|105|7,874016|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|24877|106|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|25004|107|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|25131|108|7,812500|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|25275|109|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|25408|110|7,633588|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124558|25533|111|7,936508|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124559|25677|112|6,896552|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124559|25821|113|6,944444|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124559|25964|114|6,993007|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124559|26126|115|6,250000|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124559|26297|116|6,211180|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
20170115_124559|26440|117|6,896552|CarroTeste|0|circulo_r120_xc320_yc240|0|0|0|0||||||||
