TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170211_193138|13112|35|22.000000|1|CarroTeste|1|circulo_r60_xc160_yc120|206|81|208|79|2.828427|0.000000|0.000000|50.000000|50.000000|356.912109|0.785398|0.936215|0.150816|4.564307|22.650140|13.041071|
20170211_193138|13114|35|22.000000|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|249.838479|3.050933|3.054326|0.003393|0.102695|12.600024|12.383824|
20170211_193138|13168|37|17.857143|1|CarroTeste|1|circulo_r60_xc160_yc120|206|81|208|79|2.828427|0.000000|0.000000|50.000000|50.000000|349.477703|0.785398|0.936215|0.150816|4.566579|22.280811|12.666960|
20170211_193138|13170|37|17.857143|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|244.634390|2.976444|3.054326|0.077882|2.354811|14.710468|9.752971|
20170211_193138|13226|39|17.857143|1|CarroTeste|1|circulo_r60_xc160_yc120|206|81|208|79|2.828427|0.000000|0.000000|50.000000|50.000000|352.277703|0.785398|0.936215|0.150816|4.575025|22.429701|12.798070|
20170211_193138|13227|39|17.857143|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|246.594390|3.050933|3.054326|0.003393|0.107107|12.442464|12.216975|
20170211_193138|13294|41|15.384615|1|CarroTeste|1|circulo_r60_xc160_yc120|205|80|207|79|2.236068|0.000000|1.582779|50.000000|48.417221|338.596081|0.927295|0.892951|-0.034344|-1.014061|15.862372|17.997236|
20170211_193138|13295|41|15.384615|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|244.585296|3.050933|3.054326|0.003393|0.107245|12.342154|12.116376|
20170211_193138|13356|43|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|206|81|208|79|2.828427|0.000000|3.215806|50.000000|46.784194|331.626759|0.909753|0.936215|0.026461|0.821202|17.445761|15.716915|
20170211_193138|13358|43|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|247.637041|3.232253|3.054326|-0.177926|-5.372186|6.726919|18.036785|
20170211_193138|13421|45|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|206|81|208|80|2.236068|0.000000|4.848832|50.000000|45.151168|323.383215|1.030377|0.924367|-0.106010|-3.180530|12.821234|19.517087|
20170211_193138|13423|45|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|249.842041|3.030935|3.054326|0.023391|0.700604|13.229580|11.754624|
20170211_193138|13483|47|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|206|81|208|80|2.236068|0.000000|4.848832|50.000000|45.151168|326.227738|1.063698|0.924367|-0.139331|-4.194202|11.896438|20.726336|
20170211_193138|13485|47|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|300|112|80.399005|0.000000|0.000000|35.000000|35.000000|252.047041|3.030935|3.054326|0.023391|0.702078|13.341382|11.863323|
20170211_193139|13547|49|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|207|82|208|81|1.414214|0.000000|4.899079|50.000000|45.100921|328.727923|1.063698|0.933063|-0.130635|-3.940188|12.288830|20.583963|
20170211_193139|13548|49|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|1.633026|35.000000|33.366974|243.061091|3.050933|3.054326|0.003393|0.099213|12.257489|12.048620|
20170211_193139|13612|51|15.625000|1|CarroTeste|1|circulo_r60_xc160_yc120|207|82|208|81|1.414214|0.000000|3.266053|50.000000|46.733947|342.232866|1.063698|0.933063|-0.130635|-3.948228|12.955614|21.267673|
20170211_193139|13613|51|15.625000|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|1.633026|35.000000|33.366974|244.786682|3.050933|3.054326|0.003393|0.099421|12.343988|12.134680|
20170211_193139|13691|53|12.658228|1|CarroTeste|1|circulo_r60_xc160_yc120|207|82|209|81|2.236068|0.000000|2.935313|50.000000|47.064687|341.269945|0.909753|0.949500|0.039747|1.191693|18.317911|15.809084|
20170211_193139|13693|53|12.658228|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|1.633026|35.000000|33.366974|242.514794|3.141593|3.054326|-0.087267|-2.638801|9.348054|14.903426|
20170211_193139|13756|55|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|207|82|209|81|2.236068|0.000000|2.935313|50.000000|47.064687|351.735835|0.909753|0.949500|0.039747|1.195464|18.845174|16.328409|
20170211_193139|13757|55|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|1.633026|35.000000|33.366974|249.934687|3.141593|3.054326|-0.087267|-2.647081|9.710333|15.283135|
20170211_193139|13820|57|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|207|82|209|81|2.236068|0.000000|1.302287|50.000000|48.697713|365.891858|0.909753|0.949500|0.039747|1.197968|19.555611|17.033574|
20170211_193139|13822|57|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|35.000000|35.000000|263.227757|3.141593|3.054326|-0.087267|-2.652579|10.369200|15.953576|
20170211_193139|13884|59|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|207|82|209|82|2.000000|0.000000|2.935313|50.000000|47.064687|357.768866|0.909753|0.944779|0.035026|1.057788|19.001904|16.774982|
20170211_193139|13885|59|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.658076|-1.518894|4.077056|
20170211_193139|13949|61|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|208|84|210|82|2.828427|0.000000|3.266053|50.000000|46.733947|358.467422|0.909753|0.986480|0.076727|2.320249|20.365739|15.481003|
20170211_193139|13950|61|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.663574|-1.524681|4.082844|
20170211_193139|14012|63|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|208|84|210|83|2.236068|0.000000|4.899079|50.000000|45.100921|350.220709|0.909753|0.974633|0.064880|1.967049|19.581613|15.440457|
20170211_193139|14013|63|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.669072|-1.530468|4.088631|
20170211_193139|14092|65|12.658228|1|CarroTeste|1|circulo_r60_xc160_yc120|208|84|210|83|2.236068|0.000000|4.899079|50.000000|45.100921|346.595840|0.927295|0.974633|0.047338|1.440247|18.845841|15.813743|
20170211_193139|14093|65|12.658228|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.673185|-1.534797|4.092960|
20170211_193139|14156|67|15.625000|1|CarroTeste|1|circulo_r60_xc160_yc120|209|85|210|84|1.414214|0.000000|4.873563|50.000000|45.126437|356.290671|0.927295|0.989612|0.062316|1.897322|19.811715|15.817353|
20170211_193139|14157|67|15.625000|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.681337|-1.543379|4.101541|
20170211_193139|14220|69|16.129032|1|CarroTeste|1|circulo_r60_xc160_yc120|209|85|210|84|1.414214|0.000000|3.240537|50.000000|46.759463|371.425034|0.927295|0.989612|0.062316|1.901497|20.572827|16.569676|
20170211_193139|14222|69|16.129032|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.687183|-1.549532|4.107695|
20170211_193139|14283|71|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|210|86|211|85|1.414214|0.000000|3.916958|50.000000|46.083042|369.142585|1.030377|1.014744|-0.015632|-0.450425|17.982997|18.931261|
20170211_193139|14285|71|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.692459|-1.555087|4.113249|
20170211_193139|14349|73|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|210|86|211|85|1.414214|0.000000|3.916958|50.000000|46.083042|372.045816|1.063698|1.014744|-0.048953|-1.458403|17.067129|20.137452|
20170211_193139|14351|73|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.697957|-1.560874|4.119036|
20170211_193139|14412|75|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|210|86|212|86|2.000000|0.000000|4.618896|50.000000|45.381104|370.138745|1.030377|1.026460|-0.003917|-0.100436|18.401215|18.612659|
20170211_193139|14414|75|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.703455|-1.566661|4.124823|
20170211_193139|14492|77|12.658228|1|CarroTeste|1|circulo_r60_xc160_yc120|210|86|212|86|2.000000|0.000000|4.618896|50.000000|45.381104|366.491358|0.909753|1.026460|0.116707|3.542830|22.053863|14.595273|
20170211_193139|14494|77|12.658228|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.707568|-1.570990|4.129152|
20170211_193140|14556|79|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|211|88|212|87|1.414214|0.000000|3.942474|50.000000|46.057526|381.218304|1.063698|1.046160|-0.017537|-0.503094|18.531343|19.590488|
20170211_193140|14557|79|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.715847|-1.579705|4.137868|
20170211_193140|14620|81|15.625000|1|CarroTeste|1|circulo_r60_xc160_yc120|211|88|212|87|1.414214|0.000000|3.942474|50.000000|46.057526|383.600197|0.927295|1.046160|0.118865|3.617848|22.988271|15.371748|
20170211_193140|14622|81|15.625000|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.721218|-1.585358|4.143521|
20170211_193140|14684|83|15.873016|1|CarroTeste|1|circulo_r60_xc160_yc120|211|88|212|88|1.000000|0.000000|3.266053|50.000000|46.733947|391.703056|1.063698|1.037876|-0.025822|-0.746952|18.798888|20.371418|
20170211_193140|14685|83|15.873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.726930|-1.591371|4.149534|
20170211_193140|14748|85|16.129032|1|CarroTeste|1|circulo_r60_xc160_yc120|211|88|212|88|1.000000|0.000000|3.266053|50.000000|46.733947|395.193090|1.063698|1.037876|-0.025822|-0.748618|18.971635|20.547674|
20170211_193140|14749|85|16.129032|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.141593|3.054326|-0.087267|-2.732562|-1.597299|4.155462|
20170211_193140|14811|87|16.129032|1|CarroTeste|1|circulo_r60_xc160_yc120|212|90|213|89|1.414214|0.000000|3.979723|50.000000|46.020277|393.191553|1.030377|1.077576|0.047199|1.456663|21.192908|18.126248|
20170211_193140|14812|87|16.129032|1|CarroTeste2|1|circulo_r60_xc160_yc120|220|120|299|112|79.404030|0.000000|0.000000|0.000000|0.000000|25.581625|3.050933|3.054326|0.003393|0.001997|1.281184|1.276979|
20170211_193140|14893|89|12.345679|1|CarroTeste|1|circulo_r60_xc160_yc120|212|90|213|89|1.414214|0.000000|3.979723|50.000000|46.020277|388.287535|0.927295|1.077576|0.150281|4.572193|24.227211|14.601542|
