TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170121_151639|26551|1|0,000001|0||0||0|0|0|0||||||||||||
20170121_151639|26797|2|4,048583|0||0||0|0|0|0||||||||||||
20170121_151640|26893|3|10,416667|0||0||0|0|0|0||||||||||||
20170121_151640|26987|4|10,752688|0||0||0|0|0|0||||||||||||
20170121_151640|27048|5|15,873016|0||0||0|0|0|0||||||||||||
20170121_151640|27126|6|13,333333|0||0||0|0|0|0||||||||||||
20170121_151640|27220|7|10,416667|0||0||0|0|0|0||||||||||||
20170121_151640|27312|8|10,869565|0||0||0|0|0|0||||||||||||
20170121_151640|27408|9|10,526316|0||0||0|0|0|0||||||||||||
20170121_151640|27500|10|10,752688|0||0||0|0|0|0||||||||||||
20170121_151640|27595|11|10,526316|0||0||0|0|0|0||||||||||||
20170121_151640|27689|12|10,526316|0||0||0|0|0|0||||||||||||
20170121_151640|27785|13|10,752688|0||0||0|0|0|0||||||||||||
20170121_151640|27872|14|10,989011|0||0||0|0|0|0||||||||||||
20170121_151641|27968|15|10,416667|0||0||0|0|0|0||||||||||||
20170121_151641|28060|16|10,869565|0||0||0|0|0|0||||||||||||
20170121_151641|28165|17|10,638298|0||0||0|0|0|0||||||||||||
20170121_151641|28249|18|10,526316|0||0||0|0|0|0||||||||||||
20170121_151641|28344|19|10,869565|0||0||0|0|0|0||||||||||||
20170121_151641|28437|20|10,526316|0||0||0|0|0|0||||||||||||
20170121_151641|28536|21|10,638298|0||0||0|0|0|0||||||||||||
20170121_151641|28624|22|10,752688|0||0||0|0|0|0||||||||||||
20170121_151641|28720|23|10,526316|0||0||0|0|0|0||||||||||||
20170121_151641|28812|24|10,869565|0||0||0|0|0|0||||||||||||
20170121_151642|28908|25|10,416667|0||0||0|0|0|0||||||||||||
20170121_151642|28968|26|16,393443|0||0||0|0|0|0||||||||||||
20170121_151642|29048|27|12,820513|0||0||0|0|0|0||||||||||||
20170121_151642|29141|28|10,526316|0||0||0|0|0|0||||||||||||
20170121_151642|29233|29|10,869565|0||0||0|0|0|0||||||||||||
20170121_151642|29327|30|10,638298|0||0||0|0|0|0||||||||||||
20170121_151642|29420|31|10,638298|0||0||0|0|0|0||||||||||||
20170121_151642|29518|32|10,526316|0||0||0|0|0|0||||||||||||
20170121_151642|29619|33|10,638298|0||0||0|0|0|0||||||||||||
20170121_151642|29705|34|10,526316|0||0||0|0|0|0||||||||||||
20170121_151642|29794|35|11,111111|0||0||0|0|0|0||||||||||||
20170121_151643|29937|36|7,042254|0||0||0|0|0|0||||||||||||
20170121_151643|30009|37|14,705882|0||0||0|0|0|0||||||||||||
20170121_151643|30132|38|8,000000|0||0||0|0|0|0||||||||||||
20170121_151643|30223|39|11,111111|0||0||0|0|0|0||||||||||||
20170121_151643|30312|40|10,752688|0||0||0|0|0|0||||||||||||
20170121_151643|30405|41|10,752688|0||0||0|0|0|0||||||||||||
20170121_151643|30501|42|10,526316|0||0||0|0|0|0||||||||||||
20170121_151643|30595|43|10,638298|0||0||0|0|0|0||||||||||||
20170121_151643|30664|44|14,285714|0||0||0|0|0|0||||||||||||
20170121_151643|30741|45|13,157895|0||0||0|0|0|0||||||||||||
20170121_151643|30825|46|11,627907|0||0||0|0|0|0||||||||||||
20170121_151644|30920|47|10,638298|0||0||0|0|0|0||||||||||||
20170121_151644|31016|48|10,416667|0||0||0|0|0|0||||||||||||
20170121_151644|31108|49|10,869565|0||0||0|0|0|0||||||||||||
20170121_151644|31201|50|10,638298|0||0||0|0|0|0||||||||||||
20170121_151644|31294|51|10,638298|0||0||0|0|0|0||||||||||||
20170121_151644|31389|52|10,638298|0||0||0|0|0|0||||||||||||
20170121_151644|31486|53|10,638298|0||0||0|0|0|0||||||||||||
20170121_151644|31578|54|10,869565|0||0||0|0|0|0||||||||||||
20170121_151644|31676|55|10,416667|0||0||0|0|0|0||||||||||||
20170121_151644|31773|56|10,752688|0||0||0|0|0|0||||||||||||
20170121_151644|31862|57|10,638298|0||0||0|0|0|0||||||||||||
20170121_151645|31954|58|10,752688|0||0||0|0|0|0||||||||||||
20170121_151645|32050|59|10,638298|0||0||0|0|0|0||||||||||||
20170121_151645|32141|60|10,869565|0||0||0|0|0|0||||||||||||
20170121_151645|32237|61|10,416667|0||0||0|0|0|0||||||||||||
20170121_151645|32332|62|10,752688|0||0||0|0|0|0||||||||||||
20170121_151645|32423|63|10,752688|0||0||0|0|0|0||||||||||||
20170121_151645|32519|64|10,526316|0||0||0|0|0|0||||||||||||
20170121_151645|32612|65|10,638298|0||0||0|0|0|0||||||||||||
20170121_151645|32703|66|10,869565|0||0||0|0|0|0||||||||||||
20170121_151645|32798|67|10,526316|0||0||0|0|0|0||||||||||||
20170121_151646|32892|68|10,752688|0||0||0|0|0|0||||||||||||
20170121_151646|32987|69|10,526316|0||0||0|0|0|0||||||||||||
20170121_151646|33078|70|10,869565|0||0||0|0|0|0||||||||||||
20170121_151646|33173|71|10,752688|0||0||0|0|0|0||||||||||||
20170121_151646|33266|72|10,526316|0||0||0|0|0|0||||||||||||
20170121_151646|33361|73|10,638298|0||0||0|0|0|0||||||||||||
20170121_151646|33453|74|10,752688|0||0||0|0|0|0||||||||||||
20170121_151646|33547|75|10,638298|0||0||0|0|0|0||||||||||||
20170121_151646|33646|76|10,638298|0||0||0|0|0|0||||||||||||
20170121_151646|33737|77|10,526316|0||0||0|0|0|0||||||||||||
20170121_151646|33828|78|10,989011|0||0||0|0|0|0||||||||||||
20170121_151647|33923|79|10,416667|0||0||0|0|0|0||||||||||||
20170121_151647|34016|80|10,752688|0||0||0|0|0|0||||||||||||
20170121_151647|34111|81|10,638298|0||0||0|0|0|0||||||||||||
20170121_151647|34204|82|10,752688|0||0||0|0|0|0||||||||||||
20170121_151647|34298|83|10,638298|0||0||0|0|0|0||||||||||||
20170121_151647|34392|84|10,526316|0||0||0|0|0|0||||||||||||
20170121_151647|34485|85|10,869565|0||0||0|0|0|0||||||||||||
20170121_151647|34580|86|10,526316|0||0||0|0|0|0||||||||||||
20170121_151647|34677|87|10,638298|0||0||0|0|0|0||||||||||||
20170121_151647|34770|88|10,526316|0||0||0|0|0|0||||||||||||
20170121_151647|34862|89|10,638298|0||0||0|0|0|0||||||||||||
20170121_151648|34960|90|10,869565|0||0||0|0|0|0||||||||||||
20170121_151648|35049|91|10,638298|0||0||0|0|0|0||||||||||||
20170121_151648|35142|92|10,752688|0||0||0|0|0|0||||||||||||
20170121_151648|35239|93|10,526316|0||0||0|0|0|0||||||||||||
20170121_151648|35329|94|10,869565|0||0||0|0|0|0||||||||||||
20170121_151648|35424|95|10,526316|0||0||0|0|0|0||||||||||||
20170121_151648|35517|96|10,638298|0||0||0|0|0|0||||||||||||
20170121_151648|35613|97|10,526316|0||0||0|0|0|0||||||||||||
20170121_151648|35704|98|10,989011|0||0||0|0|0|0||||||||||||
20170121_151648|35798|99|10,526316|0||0||0|0|0|0||||||||||||
20170121_151648|35890|100|10,752688|0||0||0|0|0|0||||||||||||
20170121_151649|35989|101|10,638298|0||0||0|0|0|0||||||||||||
20170121_151649|36080|102|10,638298|0||0||0|0|0|0||||||||||||
20170121_151649|36181|103|10,638298|0||0||0|0|0|0||||||||||||
20170121_151649|36269|104|10,638298|0||0||0|0|0|0||||||||||||
20170121_151649|36361|105|10,638298|0||0||0|0|0|0||||||||||||
20170121_151649|36568|106|5,025126|0||0||0|0|0|0||||||||||||
20170121_151649|36654|107|11,235955|0||0||0|0|0|0||||||||||||
20170121_151649|36692|108|24,390244|0||0||0|0|0|0||||||||||||
20170121_151649|36796|109|9,900990|0||0||0|0|0|0||||||||||||
20170121_151649|36873|110|13,333333|0||0||0|0|0|0||||||||||||
20170121_151650|36945|111|13,157895|0||0||0|0|0|0||||||||||||
20170121_151650|37025|112|12,195122|0||0||0|0|0|0||||||||||||
20170121_151650|37108|113|12,500000|0||0||0|0|0|0||||||||||||
20170121_151650|37177|114|14,925373|0||0||0|0|0|0||||||||||||
20170121_151650|37252|115|12,500000|0||0||0|0|0|0||||||||||||
20170121_151650|37333|116|12,500000|0||0||0|0|0|0||||||||||||
20170121_151650|37413|117|12,345679|0||0||0|0|0|0||||||||||||
20170121_151650|37491|118|12,820513|0||0||0|0|0|0||||||||||||
20170121_151650|37579|119|11,363636|0||0||0|0|0|0||||||||||||
