TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170128_161620|24607|213|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|211|73|1,414214|9,074218|100,000000|90,925782|356,911484|0,540420|0,857665|0,317245|8,884952|27,198155|8,492993|
20170128_161620|24611|213|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|5,174497|50,000000|44,825503|175,953797|-0,661043|-0,695955|-0,034912|-0,977774|7,768454|9,826925|
20170128_161620|24633|215|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|211|73|1,414214|0,000000|100,000000|100,000000|395,561420|0,540420|0,857665|0,317245|8,895527|29,141783|10,414359|
20170128_161620|24638|215|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|197,759464|-0,661043|-0,695955|-0,034912|-0,978937|8,857513|10,918434|
20170128_161620|24671|217|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|211|73|1,414214|0,000000|100,000000|100,000000|398,894754|0,540420|0,857665|0,317245|8,906101|29,319581|10,569894|
20170128_161620|24675|217|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|199,426131|-0,661043|-0,695955|-0,034912|-0,980101|8,939621|11,002992|
20170128_161620|24719|219|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|211|73|1,414214|0,000000|100,000000|100,000000|402,228087|0,661043|0,857665|0,196622|5,538420|25,941320|14,281488|
20170128_161620|24724|219|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|201,092797|-0,661043|-0,695955|-0,034912|-0,981265|9,021730|11,087550|
20170128_161620|24766|221|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|211|73|1,414214|0,000000|100,000000|100,000000|405,561420|0,540420|0,857665|0,317245|8,923230|29,670945|10,885197|
20170128_161621|24771|221|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|202,759464|-0,661043|-0,695955|-0,034912|-0,982429|9,103838|11,172109|
20170128_161621|24814|223|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|211|73|1,414214|0,000000|100,000000|100,000000|408,894754|0,674741|0,857665|0,182924|5,171921|25,888866|15,000610|
20170128_161621|24819|223|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|204,426131|-0,661043|-0,695955|-0,034912|-0,983592|9,185946|11,256667|
20170128_161621|24859|225|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|210|74|212|73|2,236068|21,276596|100,000000|78,723404|328,710946|0,661043|0,874102|0,213059|6,021994|22,774488|10,096606|
20170128_161621|24864|225|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|206,092797|-0,661043|-0,695955|-0,034912|-0,984756|9,268055|11,341225|
20170128_161621|24906|227|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|211|75|212|74|1,414214|21,276596|100,000000|78,723404|331,335059|0,785398|0,876514|0,091116|2,613904|19,318231|13,815275|
20170128_161621|24911|227|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|207,759464|-0,661043|-0,695955|-0,034912|-0,985920|9,350163|11,425784|
20170128_161621|24953|229|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|211|75|213|74|2,236068|21,276596|100,000000|78,723404|333,959173|0,785398|0,892951|0,107553|3,077287|19,937208|13,458709|
20170128_161621|24958|229|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|111|71|107|69|4,472136|0,000000|50,000000|50,000000|209,426131|-0,661043|-0,695955|-0,034912|-0,987084|9,432271|11,510342|
20170128_161621|25001|231|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|211|75|213|74|2,236068|0,000000|100,000000|100,000000|420,100427|0,785398|0,892951|0,107553|3,080872|24,248045|17,761998|
