TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170121_155610|25180|1|0,000001|0||0||0|0|0|0||||||||||||
20170121_155610|25439|2|3,937008|0||0||0|0|0|0||||||||||||
20170121_155611|25577|3|7,142857|0||0||0|0|0|0||||||||||||
20170121_155611|25670|4|10,526316|0||0||0|0|0|0||||||||||||
20170121_155611|25773|5|10,752688|0||0||0|0|0|0||||||||||||
20170121_155611|25859|6|10,309278|0||0||0|0|0|0||||||||||||
20170121_155611|25952|7|10,752688|0||0||0|0|0|0||||||||||||
20170121_155611|26059|8|10,638298|0||0||0|0|0|0||||||||||||
20170121_155611|26145|9|10,869565|0||0||0|0|0|0||||||||||||
20170121_155611|26232|10|10,752688|0||0||0|0|0|0||||||||||||
20170121_155611|26297|11|15,384615|0||0||0|0|0|0||||||||||||
20170121_155611|26373|12|12,987013|0||0||0|0|0|0||||||||||||
20170121_155611|26466|13|10,752688|0||0||0|0|0|0||||||||||||
20170121_155612|26561|14|10,526316|0||0||0|0|0|0||||||||||||
20170121_155612|26655|15|10,752688|0||0||0|0|0|0||||||||||||
20170121_155612|26751|16|10,526316|0||0||0|0|0|0||||||||||||
20170121_155612|26813|17|15,625000|0||0||0|0|0|0||||||||||||
20170121_155612|26889|18|13,157895|0||0||0|0|0|0||||||||||||
20170121_155612|26983|19|10,752688|0||0||0|0|0|0||||||||||||
20170121_155612|27077|20|10,638298|0||0||0|0|0|0||||||||||||
20170121_155612|27170|21|10,752688|0||0||0|0|0|0||||||||||||
20170121_155612|27233|22|16,129032|0||0||0|0|0|0||||||||||||
20170121_155612|27311|23|12,820513|0||0||0|0|0|0||||||||||||
20170121_155612|27407|24|10,638298|0||0||0|0|0|0||||||||||||
20170121_155612|27499|25|10,526316|0||0||0|0|0|0||||||||||||
20170121_155613|27590|26|10,869565|0||0||0|0|0|0||||||||||||
20170121_155613|27686|27|10,526316|0||0||0|0|0|0||||||||||||
20170121_155613|27781|28|10,638298|0||0||0|0|0|0||||||||||||
20170121_155613|27876|29|10,638298|0||0||0|0|0|0||||||||||||
20170121_155613|27967|30|10,752688|0||0||0|0|0|0||||||||||||
20170121_155613|28061|31|10,526316|0||0||0|0|0|0||||||||||||
20170121_155613|28157|32|10,638298|0||0||0|0|0|0||||||||||||
20170121_155613|28249|33|10,752688|0||0||0|0|0|0||||||||||||
20170121_155613|28342|34|10,869565|0||0||0|0|0|0||||||||||||
20170121_155613|28435|35|10,638298|0||0||0|0|0|0||||||||||||
20170121_155613|28530|36|10,416667|0||0||0|0|0|0||||||||||||
20170121_155614|28624|37|10,752688|0||0||0|0|0|0||||||||||||
20170121_155614|28719|38|10,752688|0||0||0|0|0|0||||||||||||
20170121_155614|28813|39|10,526316|0||0||0|0|0|0||||||||||||
20170121_155614|28904|40|10,869565|0||0||0|0|0|0||||||||||||
