TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170204_150622|18274|25|22,000000|1|CarroTeste|1|circulo_r68_xc160_yc120|216|81|227|75|12,529964|0,000000|0,000000|80,000000|80,000000|296,090168|2,214297|1,218210|-0,996088|-25,165168|-11,685142|41,294159|
20170204_150622|18278|25|22,000000|1|CarroTeste2|0|circulo_r68_xc160_yc120|216|81|0|0|12,529964|0,000000|0,000000|80,000000|80,000000|296,090168|2,214297|1,218210|-0,996088|-25,165168|-11,685142|41,294159|
20170204_150622|18314|27|25,000000|1|CarroTeste|1|circulo_r68_xc160_yc120|216|81|227|75|12,529964|0,000000|0,000000|80,000000|80,000000|306,389712|2,214297|1,218210|-0,996088|-25,234477|-11,243122|41,882093|
20170204_150622|18318|27|25,000000|1|CarroTeste2|0|circulo_r68_xc160_yc120|216|81|0|0|12,529964|0,000000|0,000000|80,000000|80,000000|306,389712|2,214297|1,218210|-0,996088|-25,234477|-11,243122|41,882093|
20170204_150622|18361|29|22,222222|1|CarroTeste|1|circulo_r68_xc160_yc120|216|81|227|75|12,529964|0,000000|0,000000|80,000000|80,000000|303,416493|2,214297|1,218210|-0,996088|-25,252020|-11,410249|41,751898|
20170204_150622|18364|29|22,222222|1|CarroTeste2|0|circulo_r68_xc160_yc120|216|81|0|0|12,529964|0,000000|0,000000|80,000000|80,000000|303,416493|2,214297|1,218210|-0,996088|-25,252020|-11,410249|41,751898|
20170204_150622|18408|31|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|216|81|227|75|12,529964|0,000000|0,000000|80,000000|80,000000|305,952217|2,214297|1,218210|-0,996088|-25,293091|-11,326695|41,921917|
20170204_150622|18415|31|21,739130|1|CarroTeste2|0|circulo_r68_xc160_yc120|216|81|0|0|12,529964|0,000000|0,000000|80,000000|80,000000|305,952217|2,214297|1,218210|-0,996088|-25,293091|-11,326695|41,921917|
20170204_150622|18453|33|22,727273|1|CarroTeste|1|circulo_r68_xc160_yc120|216|81|227|75|12,529964|0,000000|0,000000|80,000000|80,000000|311,812435|2,111216|1,218210|-0,893006|-22,741787|-8,348102|39,529345|
20170204_150622|18457|33|22,727273|1|CarroTeste2|0|circulo_r68_xc160_yc120|216|81|0|0|12,529964|0,000000|0,000000|80,000000|80,000000|311,812435|2,111216|1,218210|-0,893006|-22,741787|-8,348102|39,529345|
20170204_150622|18500|35|21,276596|1|CarroTeste|1|circulo_r68_xc160_yc120|216|81|226|76|11,180340|0,000000|12,382572|80,000000|67,617428|266,552985|1,951303|1,191217|-0,760085|-19,413610|-7,107730|33,763029|
20170204_150622|18504|35|21,276596|1|CarroTeste2|0|circulo_r68_xc160_yc120|216|81|0|0|11,180340|0,000000|12,382572|80,000000|67,617428|266,552985|1,951303|1,191217|-0,760085|-19,413610|-7,107730|33,763029|
20170204_150622|18547|37|22,222222|1|CarroTeste|1|circulo_r68_xc160_yc120|218|84|226|77|10,630146|0,000000|9,144947|80,000000|70,855053|283,491896|1,997424|1,236762|-0,760662|-19,469468|-6,319583|34,668772|
