TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170204_164703|15101|94|22,000000|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|90|50|29,698485|0,000000|0,000000|80,000000|80,000000|536,090168|0,197396|-0,191428|-0,388824|-9,823255|16,464240|37,144777|
20170204_164703|15106|94|22,000000|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|29,698485|0,000000|0,000000|80,000000|80,000000|536,090168|0,197396|-0,191428|-0,388824|-9,823255|16,464240|37,144777|
20170204_164703|15129|96|38,461538|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|89|50|30,413813|0,000000|15,827794|80,000000|64,172206|463,538313|0,266252|-0,177122|-0,443374|-11,282134|11,300985|35,052846|
20170204_164703|15134|96|38,461538|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|30,413813|0,000000|15,827794|80,000000|64,172206|463,538313|0,266252|-0,177122|-0,443374|-11,282134|11,300985|35,052846|
20170204_164704|15172|98|24,390244|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|89|50|30,413813|0,000000|0,000000|80,000000|80,000000|546,696219|0,266252|-0,177122|-0,443374|-11,239083|15,504197|39,165425|
20170204_164704|15175|98|24,390244|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|30,413813|0,000000|0,000000|80,000000|80,000000|546,696219|0,266252|-0,177122|-0,443374|-11,239083|15,504197|39,165425|
20170204_164704|15218|100|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|90|50|29,698485|0,000000|8,946144|80,000000|71,053856|484,215668|0,197396|-0,191428|-0,388824|-9,869845|13,821472|34,600095|
20170204_164704|15222|100|21,739130|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|29,698485|0,000000|8,946144|80,000000|71,053856|484,215668|0,197396|-0,191428|-0,388824|-9,869845|13,821472|34,600095|
20170204_164704|15265|102|21,276596|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|89|50|30,413813|0,000000|8,755801|80,000000|71,244199|487,853587|0,266252|-0,177122|-0,443374|-11,264190|12,535638|36,249721|
20170204_164704|15269|102|21,276596|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|30,413813|0,000000|8,755801|80,000000|71,244199|487,853587|0,266252|-0,177122|-0,443374|-11,264190|12,535638|36,249721|
20170204_164704|15311|104|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|89|50|30,413813|0,000000|0,000000|80,000000|80,000000|550,717649|0,266252|-0,177122|-0,443374|-11,286609|15,655241|39,416524|
20170204_164704|15315|104|21,739130|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|30,413813|0,000000|0,000000|80,000000|80,000000|550,717649|0,266252|-0,177122|-0,443374|-11,286609|15,655241|39,416524|
20170204_164704|15359|106|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|90|50|29,698485|0,000000|8,946144|80,000000|71,053856|494,512623|0,197396|-0,191428|-0,388824|-9,928965|14,274089|35,177174|
20170204_164704|15364|106|21,739130|1|CarroTeste2|0|circulo_r68_xc160_yc120|111|71|0|0|29,698485|0,000000|8,946144|80,000000|71,053856|494,512623|0,197396|-0,191428|-0,388824|-9,928965|14,274089|35,177174|
20170204_164704|15406|108|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|111|71|90|50|29,698485|0,000000|0,000000|80,000000|80,000000|557,666127|0,197396|-0,191428|-0,388824|-9,946851|17,412937|38,353676|
