TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170128_170222|14936|89|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|10|43|99,729635|3,057728|100,000000|96,942272|380,528043|3,064821|0,390256|-2,674565|-74,905406|-59,821394|97,874198|
20170128_170222|14940|89|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|171|109|51,855569|14,044297|50,000000|35,955703|141,137124|0,463648|-0,170032|-0,633679|-17,747189|-11,624395|25,738108|
20170128_170222|14978|91|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|10|43|99,729635|0,000000|100,000000|100,000000|395,761970|3,064821|0,390256|-2,674565|-74,994558|-59,153542|98,729739|
20170128_170223|14984|91|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|171|109|51,855569|0,000000|50,000000|50,000000|197,463804|0,463648|-0,170032|-0,633679|-17,768312|-8,830296|28,576676|
20170128_170223|15024|93|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|10|43|99,729635|0,000000|100,000000|100,000000|399,095303|3,064821|0,390256|-2,674565|-75,083710|-59,080720|98,990250|
20170128_170223|15028|93|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|171|109|51,855569|0,000000|50,000000|50,000000|199,130471|0,463648|-0,170032|-0,633679|-17,789434|-8,769197|28,682244|
20170128_170223|15072|95|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|10|43|99,729635|0,000000|100,000000|100,000000|402,428637|3,064821|0,390256|-2,674565|-75,172862|-59,007898|99,250761|
20170128_170223|15076|95|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|171|109|51,855569|0,000000|50,000000|50,000000|200,797137|0,463648|-0,170032|-0,633679|-17,810557|-8,708098|28,787812|
20170128_170223|15119|97|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|10|43|99,729635|0,000000|100,000000|100,000000|405,761970|2,875341|0,390256|-2,485085|-69,955327|-53,349089|93,925286|
20170128_170223|15124|97|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|172|109|51,088159|21,276596|50,000000|28,723404|118,946663|0,426627|-0,154684|-0,581311|-16,365023|-11,279007|23,173674|
20170128_170223|15166|99|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|10|43|99,729635|0,000000|100,000000|100,000000|409,095303|2,601173|0,390256|-2,210917|-62,359669|-45,186993|86,096523|
20170128_170223|15172|99|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|172|109|51,088159|0,000000|50,000000|50,000000|203,421251|0,426627|-0,154684|-0,581311|-16,384400|-7,075675|27,417800|
20170128_170223|15212|101|-1,#QNAN0|1|CarroTeste|1|circulo_r68_xc160_yc120|99|88|9|43|100,623059|21,276596|100,000000|78,723404|328,911495|2,111216|0,390256|-1,720960|-48,711343|-34,829524|67,720674|
20170128_170223|15218|101|-1,#QNAN0|1|CarroTeste2|1|circulo_r68_xc160_yc120|211|76|172|109|51,088159|0,000000|50,000000|50,000000|205,087917|0,380506|-0,154684|-0,535190|-15,112083|-5,653060|26,161852|
