TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170425_173816|14467|52|22.000000|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|223|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2913.342317|223.000000|137.861881|-85.138119|0.000000|-145.667116|-145.667116|
20170425_173816|14473|52|22.000000|1|CarroTeste3|1|circulo_r60_xc130_yc120|0|0|312|155|0.000000|0.000000|0.000000|0.000000|0.000000|-5957.265377|312.000000|137.907733|-174.092267|0.000000|-255.000000|-255.000000|
20170425_173816|14478|52|22.000000|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2203638.048128|64536.000000|137.938364|-64398.061636|0.000000|-255.000000|-255.000000|
20170425_173816|14540|54|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|222|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2852.345528|222.000000|138.427373|-83.572627|0.000000|-142.617276|-142.617276|
20170425_173816|14541|54|12.987013|1|CarroTeste3|0|circulo_r60_xc130_yc120|0|0|312|155|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170425_173816|14543|54|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2197897.137817|64536.000000|138.458835|-64397.541165|0.000000|-255.000000|-255.000000|
20170425_173816|14619|56|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|222|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2830.831386|222.000000|139.057737|-82.942263|0.000000|-141.541569|-141.541569|
20170425_173816|14621|56|12.987013|1|CarroTeste3|1|circulo_r60_xc130_yc120|0|0|312|156|0.000000|0.000000|0.000000|0.000000|0.000000|-5901.714162|312.000000|139.082044|-172.917956|0.000000|-255.000000|-255.000000|
20170425_173816|14624|56|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2197875.519792|64536.000000|139.098264|-64396.901736|0.000000|-255.000000|-255.000000|
20170425_173816|14697|58|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|223|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2843.097421|223.000000|139.698346|-83.301654|0.000000|-142.154871|-142.154871|
20170425_173816|14698|58|12.987013|1|CarroTeste3|0|circulo_r60_xc130_yc120|0|0|312|156|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170425_173816|14701|58|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|166|0.000000|0.000000|0.000000|0.000000|0.000000|-2197853.903317|64536.000000|139.731676|-64396.268324|0.000000|-255.000000|-255.000000|
20170425_173816|14772|60|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|229|164|0.000000|0.000000|0.000000|0.000000|0.000000|-3026.289867|229.000000|140.330877|-88.669123|0.000000|-151.314493|-151.314493|
20170425_173816|14775|60|12.987013|1|CarroTeste3|1|circulo_r60_xc130_yc120|0|0|312|156|0.000000|0.000000|0.000000|0.000000|0.000000|-5858.217044|312.000000|140.356509|-171.643491|0.000000|-255.000000|-255.000000|
20170425_173816|14779|60|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|164|0.000000|0.000000|0.000000|0.000000|0.000000|-2197831.410242|64536.000000|140.390724|-64395.609276|0.000000|-255.000000|-255.000000|
20170425_173816|14849|62|12.987013|1|CarroTeste2|1|circulo_r60_xc160_yc120|0|0|241|162|0.000000|0.000000|0.000000|0.000000|0.000000|-3412.830622|241.000000|141.005382|-99.994618|0.000000|-170.641531|-170.641531|
20170425_173816|14852|62|12.987013|1|CarroTeste3|1|circulo_r60_xc130_yc120|0|0|312|156|0.000000|0.000000|0.000000|0.000000|0.000000|-5835.174189|312.000000|141.031656|-170.968344|0.000000|-255.000000|-255.000000|
20170425_173816|14855|62|12.987013|1|CarroTeste|1|circulo_r60_xc160_yc120|0|0|64536|162|0.000000|0.000000|0.000000|0.000000|0.000000|-2197808.937071|64536.000000|141.049186|-64394.950814|0.000000|-255.000000|-255.000000|
