TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170128_195355|36287|1|0,000001|0||0||0|0|0|0|||||||||||||
20170128_195355|36444|2|6,289308|0||0||0|0|0|0|||||||||||||
20170128_195355|36514|3|14,492754|0||0||0|0|0|0|||||||||||||
20170128_195356|36609|4|10,526316|0||0||0|0|0|0|||||||||||||
20170128_195356|36704|5|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195356|36751|6|20,833333|0||0||0|0|0|0|||||||||||||
20170128_195356|36843|7|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195356|36890|8|21,739130|0||0||0|0|0|0|||||||||||||
20170128_195356|36938|9|20,833333|0||0||0|0|0|0|||||||||||||
20170128_195356|37011|10|13,513514|0||0||0|0|0|0|||||||||||||
20170128_195356|37077|11|15,151515|0||0||0|0|0|0|||||||||||||
20170128_195356|37170|12|10,869565|0||0||0|0|0|0|||||||||||||
20170128_195356|37219|13|20,833333|0||0||0|0|0|0|||||||||||||
20170128_195356|37277|14|16,666667|0||0||0|0|0|0|||||||||||||
20170128_195356|37334|15|18,518519|0||0||0|0|0|0|||||||||||||
20170128_195356|37411|16|12,658228|0||0||0|0|0|0|||||||||||||
20170128_195356|37497|17|11,494253|0||0||0|0|0|0|||||||||||||
20170128_195356|37545|18|21,276596|0||0||0|0|0|0|||||||||||||
20170128_195357|37603|19|17,241379|0||0||0|0|0|0|||||||||||||
20170128_195357|37687|20|11,904762|0||0||0|0|0|0|||||||||||||
20170128_195357|37781|21|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195357|37886|22|9,523810|0||0||0|0|0|0|||||||||||||
20170128_195357|37939|23|18,867925|0||0||0|0|0|0|||||||||||||
20170128_195357|38017|24|12,820513|0||0||0|0|0|0|||||||||||||
20170128_195357|38101|25|12,048193|0||0||0|0|0|0|||||||||||||
20170128_195357|38156|26|17,857143|0||0||0|0|0|0|||||||||||||
20170128_195357|38213|27|17,543860|0||0||0|0|0|0|||||||||||||
20170128_195357|38275|28|16,129032|0||0||0|0|0|0|||||||||||||
20170128_195357|38344|29|14,705882|0||0||0|0|0|0|||||||||||||
20170128_195357|38404|30|16,666667|0||0||0|0|0|0|||||||||||||
20170128_195357|38484|31|12,345679|0||0||0|0|0|0|||||||||||||
20170128_195357|38577|32|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195358|38672|33|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195358|38766|34|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195358|38858|35|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195358|38952|36|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195358|39011|37|16,949153|0||0||0|0|0|0|||||||||||||
20170128_195358|39092|38|12,345679|0||0||0|0|0|0|||||||||||||
20170128_195358|39140|39|20,408163|0||0||0|0|0|0|||||||||||||
20170128_195358|39235|40|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195358|39293|41|17,543860|0||0||0|0|0|0|||||||||||||
20170128_195358|39341|42|20,000000|0||0||0|0|0|0|||||||||||||
20170128_195358|39411|43|14,492754|0||0||0|0|0|0|||||||||||||
20170128_195358|39476|44|15,384615|0||0||0|0|0|0|||||||||||||
20170128_195358|39540|45|15,873016|0||0||0|0|0|0|||||||||||||
20170128_195359|39610|46|14,285714|0||0||0|0|0|0|||||||||||||
20170128_195359|39701|47|10,869565|0||0||0|0|0|0|||||||||||||
20170128_195359|39750|48|20,408163|0||0||0|0|0|0|||||||||||||
20170128_195359|39842|49|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195359|39941|50|10,526316|0||0||0|0|0|0|||||||||||||
20170128_195359|40066|51|7,812500|0||0||0|0|0|0|||||||||||||
20170128_195359|40136|52|14,285714|0||0||0|0|0|0|||||||||||||
20170128_195359|40212|53|13,333333|0||0||0|0|0|0|||||||||||||
20170128_195359|40280|54|14,705882|0||0||0|0|0|0|||||||||||||
20170128_195359|40362|55|12,345679|0||0||0|0|0|0|||||||||||||
20170128_195359|40452|56|10,989011|0||0||0|0|0|0|||||||||||||
20170128_195359|40548|57|10,416667|0||0||0|0|0|0|||||||||||||
20170128_195400|40640|58|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195400|40734|59|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195400|40781|60|21,276596|0||0||0|0|0|0|||||||||||||
20170128_195400|40877|61|10,526316|0||0||0|0|0|0|||||||||||||
20170128_195400|40968|62|10,869565|0||0||0|0|0|0|||||||||||||
20170128_195400|41062|63|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195400|41126|64|15,625000|0||0||0|0|0|0|||||||||||||
20170128_195400|41184|65|17,241379|0||0||0|0|0|0|||||||||||||
20170128_195400|41250|66|15,151515|0||0||0|0|0|0|||||||||||||
20170128_195400|41344|67|10,638298|0||0||0|0|0|0|||||||||||||
20170128_195400|41437|68|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195400|41530|69|10,752688|0||0||0|0|0|0|||||||||||||
20170128_195401|41687|70|6,369427|0||0||0|0|0|0|||||||||||||
20170128_195401|41766|71|12,658228|0||0||0|0|0|0|||||||||||||
