TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170204_164529|16985|132|22,000000|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|536,090168|2,714965|-2,034178|1,534042|38,756062|67,600363|-13,991347|
20170204_164529|16989|132|22,000000|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|155|101|155|0,000000|0,000000|0,000000|50,000000|50,000000|335,056354|-2,111216|-2,117434|-0,006218|-0,157085|16,587466|16,918170|
20170204_164529|17002|134|66,666667|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|641,699111|2,714965|-2,034178|1,534042|39,446438|73,607522|-9,437611|
20170204_164529|17006|134|66,666667|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|154|101|154|0,000000|0,000000|27,434842|50,000000|22,565158|182,247558|-1,997424|-2,111150|-0,113726|-2,919481|6,039240|12,185515|
20170204_164529|17047|136|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|540,352217|2,714965|-2,034178|1,534042|38,845688|67,907810|-13,872588|
20170204_164529|17052|136|21,739130|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|154|101|154|0,000000|0,000000|0,000000|50,000000|50,000000|337,308612|-1,997424|-2,111150|-0,113726|-2,874944|13,839174|19,891687|
20170204_164529|17095|138|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|544,032217|2,714965|-2,034178|1,534042|38,916254|68,166090|-13,762868|
20170204_164529|17100|138|21,739130|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|154|101|154|0,000000|0,000000|0,000000|50,000000|50,000000|339,608612|-1,997424|-2,111150|-0,113726|-2,880175|13,948667|20,012194|
20170204_164529|17143|140|21,276596|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|546,696320|2,714965|-2,034178|1,534042|38,981349|68,367816|-13,698184|
20170204_164529|17147|140|21,276596|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|154|101|154|0,000000|0,000000|0,000000|50,000000|50,000000|341,273679|-1,997424|-2,111150|-0,113726|-2,885001|14,026841|20,100527|
20170204_164529|17189|142|22,222222|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|552,536493|2,714965|-2,034178|1,534042|39,064700|68,747562|-13,493913|
20170204_164529|17194|142|22,222222|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|154|101|154|0,000000|0,000000|0,000000|50,000000|50,000000|344,923788|-1,997424|-2,111150|-0,113726|-2,891180|14,202841|20,289537|
20170204_164529|17236|144|21,739130|1|CarroTeste|1|circulo_r68_xc160_yc120|101|86|144|110|49,244289|0,000000|0,000000|80,000000|80,000000|555,072217|2,714965|-2,034178|1,534042|39,127952|68,940929|-13,433708|
20170204_164529|17240|144|21,739130|1|CarroTeste2|1|circulo_r68_xc160_yc120|101|154|101|154|0,000000|0,000000|0,000000|50,000000|50,000000|346,508612|-1,997424|-2,111150|-0,113726|-2,895870|14,277147|20,373715|
