TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170208_220542|22420|34|22,000000|1|CarroTeste|1|circulo_r60_xc160_yc120|138|176|137|180|4,123106|0,000000|0,000000|80,000000|80,000000|536,090168|3,407845|-2,700989|0,174352|5,276576|32,358799|21,250217|
20170208_220542|22425|34|22,000000|1|CarroTeste2|1|circulo_r60_xc160_yc120|211|151|219|155|8,944272|0,000000|0,000000|50,000000|50,000000|335,056354|2,466852|2,296319|-0,170533|-5,161011|11,320174|22,185461|
20170208_220542|22476|36|18,867925|1|CarroTeste|1|circulo_r60_xc160_yc120|138|176|137|180|4,123106|0,000000|0,000000|80,000000|80,000000|532,904505|3,407845|-2,700989|0,174352|5,280422|32,203565|21,086886|
20170208_220542|22485|36|18,867925|1|CarroTeste2|1|circulo_r60_xc160_yc120|211|151|219|155|8,944272|0,000000|0,000000|50,000000|50,000000|333,065315|2,466852|2,296319|-0,170533|-5,164773|11,216663|22,089869|
20170208_220542|22525|38|20,833333|1|CarroTeste|1|circulo_r60_xc160_yc120|138|176|137|180|4,123106|0,000000|0,000000|80,000000|80,000000|541,405805|3,407845|-2,700989|0,174352|5,292178|32,641004|21,499577|
20170208_220542|22534|38|20,833333|1|CarroTeste2|1|circulo_r60_xc160_yc120|211|151|219|155|8,944272|0,000000|0,000000|50,000000|50,000000|338,378626|2,480549|2,296319|-0,184231|-5,590697|11,033987|22,803876|
20170208_220542|22587|40|15,873016|1|CarroTeste|1|circulo_r60_xc160_yc120|138|176|137|179|3,162278|0,000000|6,532105|80,000000|73,467895|491,971114|3,522099|-2,720206|0,040881|1,260983|25,925907|23,271205|
20170208_220542|22592|40|15,873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|211|151|219|155|8,944272|0,000000|0,000000|50,000000|50,000000|334,169409|2,466852|2,296319|-0,170533|-5,179305|11,256570|22,160371|
20170208_220542|22653|42|15,625000|1|CarroTeste|1|circulo_r60_xc160_yc120|138|176|136|179|3,605551|0,000000|6,430041|80,000000|73,569959|496,798091|3,407845|-2,711340|0,164001|4,984136|30,086364|19,593446|
20170208_220542|22661|42|15,625000|1|CarroTeste2|1|circulo_r60_xc160_yc120|211|151|218|155|8,062258|0,000000|6,430041|50,000000|43,569959|295,009088|2,466852|2,278679|-0,188173|-5,722876|8,726374|20,774534|
20170208_220542|22719|44|15,873016|1|CarroTeste|1|circulo_r60_xc160_yc120|136|175|135|179|4,123106|0,000000|6,532105|80,000000|73,467895|501,308069|3,407845|-2,663290|0,212051|6,446987|31,851705|18,279102|
20170208_220542|22724|44|15,873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|210|153|218|156|8,544004|0,000000|6,532105|50,000000|43,467895|297,407947|2,480549|2,326013|-0,154537|-4,718675|9,903371|19,837424|
20170208_220543|22799|46|13,157895|1|CarroTeste|1|circulo_r60_xc160_yc120|136|175|134|178|3,605551|0,000000|7,657643|80,000000|72,342357|493,677870|3,522099|-2,673641|0,087445|2,693424|27,519077|21,848710|
20170208_220543|22805|46|13,157895|1|CarroTeste2|1|circulo_r60_xc160_yc120|210|153|218|156|8,544004|0,000000|0,000000|50,000000|50,000000|339,458921|2,356194|2,326013|-0,030182|-0,969861|15,952040|17,993853|
20170208_220543|22859|48|16,129032|1|CarroTeste|1|circulo_r60_xc160_yc120|136|175|134|178|3,605551|0,000000|0,000000|80,000000|80,000000|554,663088|3,568220|-2,673641|0,041324|1,307525|29,109497|26,356812|
