TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170610_164111|21039|42|22.000000|1|Caçula|1|circulo_r60_xc160_yc120|0|0|196|183|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|3.926991|1.287466|-2.639525|-237.558421|-250.061499|250.061499|
20170610_164111|21046|42|22.000000|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170610_164111|21051|42|22.000000|1|CarroTeste|0|circulo_r60_xc160_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170610_164111|21165|44|7.936508|1|Caçula|1|circulo_r60_xc160_yc120|0|0|196|182|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|-1.570796|1.241834|2.812630|253.140222|255.000000|-255.000000|
20170610_164111|21171|44|7.936508|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170610_164111|21177|44|7.936508|1|CarroTeste|0|circulo_r60_xc160_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170610_164111|21252|46|10.752688|1|Caçula|1|circulo_r60_xc160_yc120|0|0|196|183|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|3.926991|1.187577|-2.739414|-246.549768|-255.000000|255.000000|
20170610_164111|21258|46|10.752688|1|CarroTeste2|0|circulo_r60_xc160_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170610_164111|21264|46|10.752688|1|CarroTeste|0|circulo_r60_xc160_yc120|0|0|0|0|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|
20170610_164111|21343|48|11.111111|1|Caçula|1|circulo_r60_xc160_yc120|0|0|201|183|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|3.926991|1.125948|-2.801042|-252.096361|-255.000000|255.000000|
