TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170208_221212|14194|38|22,000000|1|CarroTeste|1|circulo_r60_xc160_yc120|118|163|114|167|5,656854|0,000000|0,000000|80,000000|80,000000|521,329780|3,802636|-2,274473|0,206076|6,279590|32,676583|19,456395|
20170208_221212|14203|38|22,000000|1|CarroTeste2|1|circulo_r60_xc160_yc120|216|98|218|98|2,000000|0,000000|0,000000|50,000000|50,000000|325,831113|1,249046|1,246372|-0,002674|-0,081487|16,205780|16,377332|
20170208_221212|14254|40|18,181818|1|CarroTeste|1|circulo_r60_xc160_yc120|118|163|114|167|5,656854|0,000000|0,000000|80,000000|80,000000|557,329780|3,802636|-2,274473|0,206076|6,372324|34,574198|21,158780|
20170208_221212|14260|40|18,181818|1|CarroTeste2|1|circulo_r60_xc160_yc120|216|98|218|98|2,000000|0,000000|0,000000|50,000000|50,000000|348,331113|1,249046|1,246372|-0,002674|-0,082690|17,329513|17,503598|
20170208_221212|14323|42|14,492754|1|CarroTeste|1|circulo_r60_xc160_yc120|119|164|114|168|6,403124|0,000000|0,914495|80,000000|79,085505|587,370363|3,926991|-2,278398|0,077797|2,556108|32,059158|26,677879|
20170208_221212|14327|42|14,492754|1|CarroTeste2|1|circulo_r60_xc160_yc120|216|98|218|98|2,000000|0,000000|0,000000|50,000000|50,000000|370,831113|1,249046|1,246372|-0,002674|-0,083894|18,453246|18,629865|
20170208_221212|14379|44|18,181818|1|CarroTeste|1|circulo_r60_xc160_yc120|118|163|113|167|6,403124|0,000000|1,293291|80,000000|78,706709|620,490369|3,926991|-2,259548|0,096647|3,165513|34,356637|27,692400|
20170208_221212|14388|44|18,181818|1|CarroTeste2|1|circulo_r60_xc160_yc120|216|98|218|98|2,000000|0,000000|0,000000|50,000000|50,000000|393,331113|1,144169|1,246372|0,102203|3,110735|22,941013|16,392098|
20170208_221212|14442|46|15,873016|1|CarroTeste|1|circulo_r60_xc160_yc120|118|163|113|167|6,403124|0,000000|0,000000|80,000000|80,000000|664,336277|3,926991|-2,259548|0,096647|3,209004|36,594712|29,838915|
20170208_221213|14451|46|15,873016|1|CarroTeste2|1|circulo_r60_xc160_yc120|216|98|218|98|2,000000|0,000000|0,000000|50,000000|50,000000|415,831113|1,144169|1,246372|0,102203|3,156726|24,114425|17,468686|
