TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velAtualDerivSuja|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170211_112238|17466|152|22,000000|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|219|62|22,627417|0,000000|0,000000|45,000000|45,000000|301,550719|-2,231839|1,256796|-2,794550|-84,574286|-73,948029|104,103101|
20170211_112238|17471|152|22,000000|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|22,627417|0,000000|0,000000|45,000000|45,000000|301,550719|-2,231839|1,256796|-2,794550|-84,574286|-73,948029|104,103101|
20170211_112238|17515|154|20,408163|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|219|62|22,627417|0,000000|0,000000|45,000000|45,000000|301,633822|-2,231839|1,256796|-2,794550|-84,667295|-74,041778|104,205160|
20170211_112238|17520|154|20,408163|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|22,627417|0,000000|0,000000|45,000000|45,000000|301,633822|-2,231839|1,256796|-2,794550|-84,667295|-74,041778|104,205160|
20170211_112238|17562|156|22,222222|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|220|62|23,345235|0,000000|9,144947|45,000000|35,855053|244,739315|-2,231839|1,271152|-2,780193|-84,408596|-76,614189|101,088120|
20170211_112238|17566|156|22,222222|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|23,345235|0,000000|9,144947|45,000000|35,855053|244,739315|-2,231839|1,271152|-2,780193|-84,408596|-76,614189|101,088120|
20170211_112238|17610|158|21,276596|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|219|62|22,627417|0,000000|8,755801|45,000000|36,244199|248,020469|-2,214297|1,256796|-2,812092|-85,478512|-77,576359|102,378406|
20170211_112238|17614|158|21,276596|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|22,627417|0,000000|8,755801|45,000000|36,244199|248,020469|-2,214297|1,256796|-2,812092|-85,478512|-77,576359|102,378406|
20170211_112238|17656|160|22,222222|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|219|62|22,627417|0,000000|0,000000|45,000000|45,000000|309,393734|3,648691|1,256796|-2,391895|-72,913734|-61,281613|92,220987|
20170211_112238|17660|160|22,222222|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|22,627417|0,000000|0,000000|45,000000|45,000000|309,393734|3,648691|1,256796|-2,391895|-72,913734|-61,281613|92,220987|
20170211_112238|17703|162|22,222222|1|CarroTeste|1|circulo_r60_xc160_yc120|202|77|218|62|21,931712|0,000000|9,144947|45,000000|35,855053|250,081270|3,407845|1,217749|-2,190095|-66,913752|-57,931466|82,939593|
20170211_112238|17709|162|22,222222|1|CarroTeste2|0|circulo_r60_xc160_yc120|202|77|0|0|21,931712|0,000000|9,144947|45,000000|35,855053|250,081270|3,407845|1,217749|-2,190095|-66,913752|-57,931466|82,939593|
20170211_112238|17750|164|22,222222|1|CarroTeste|1|circulo_r60_xc160_yc120|202|77|218|62|21,931712|0,000000|0,000000|45,000000|45,000000|313,032211|2,634494|1,217749|-1,416745|-43,606274|-30,249731|61,552952|
20170211_112238|17754|164|22,222222|1|CarroTeste2|0|circulo_r60_xc160_yc120|202|77|0|0|21,931712|0,000000|0,000000|45,000000|45,000000|313,032211|2,634494|1,217749|-1,416745|-43,606274|-30,249731|61,552952|
20170211_112238|17798|166|21,739130|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|218|63|21,213203|0,000000|8,946144|45,000000|36,053856|254,573527|2,356194|1,228512|-1,127683|-34,917092|-24,026158|49,483511|
20170211_112238|17803|166|21,739130|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|21,213203|0,000000|8,946144|45,000000|36,053856|254,573527|2,356194|1,228512|-1,127683|-34,917092|-24,026158|49,483511|
20170211_112238|17844|168|22,222222|1|CarroTeste|1|circulo_r60_xc160_yc120|202|77|217|63|20,518285|0,000000|9,144947|45,000000|35,855053|255,378224|2,231839|1,189481|-1,042359|-32,390825|-21,326695|46,864517|
20170211_112238|17850|168|22,222222|1|CarroTeste2|0|circulo_r60_xc160_yc120|202|77|0|0|20,518285|0,000000|9,144947|45,000000|35,855053|255,378224|2,231839|1,189481|-1,042359|-32,390825|-21,326695|46,864517|
20170211_112238|17890|170|21,739130|1|CarroTeste|1|circulo_r60_xc160_yc120|202|77|217|63|20,518285|0,000000|0,000000|45,000000|45,000000|317,730509|1,735945|1,189481|-0,546464|-17,427052|-2,457740|34,230790|
20170211_112238|17895|170|21,739130|1|CarroTeste2|0|circulo_r60_xc160_yc120|202|77|0|0|20,518285|0,000000|0,000000|45,000000|45,000000|317,730509|1,735945|1,189481|-0,546464|-17,427052|-2,457740|34,230790|
20170211_112238|17936|172|21,739130|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|218|64|20,518285|0,000000|12,651758|45,000000|32,348242|235,110293|1,570796|1,214613|-0,356183|-11,693896|-0,553849|24,064879|
20170211_112238|17941|172|21,739130|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|20,518285|0,000000|12,651758|45,000000|32,348242|235,110293|1,570796|1,214613|-0,356183|-11,693896|-0,553849|24,064879|
20170211_112238|17984|174|22,222222|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|217|65|19,104973|0,000000|12,932909|45,000000|32,067091|235,142912|1,304544|1,186347|-0,118197|-4,508805|7,011035|16,503256|
20170211_112238|17990|174|22,222222|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|19,104973|0,000000|12,932909|45,000000|32,067091|235,142912|1,304544|1,186347|-0,118197|-4,508805|7,011035|16,503256|
20170211_112239|18031|176|21,739130|1|CarroTeste|1|circulo_r60_xc160_yc120|203|78|217|65|19,104973|0,000000|0,000000|45,000000|45,000000|322,731547|1,304544|1,186347|-0,118197|-4,513678|11,385337|20,887818|
20170211_112239|18035|176|21,739130|1|CarroTeste2|0|circulo_r60_xc160_yc120|203|78|0|0|19,104973|0,000000|0,000000|45,000000|45,000000|322,731547|1,304544|1,186347|-0,118197|-4,513678|11,385337|20,887818|
20170211_112239|18080|178|21,739130|1|CarroTeste|1|circulo_r60_xc160_yc120|204|79|218|65|19,798990|0,000000|8,946144|45,000000|36,053856|264,916520|1,190290|1,225360|0,035070|0,119062|13,371155|13,120497|
