TimeStamp|Ticks|FrameNum|FPS|LogaDados|Robo|achou|trajetoria|Xd|Yd|Xa|Ya|DistMelhorPonto|velAtual|velDesejada|erroVel|SaidaControleLinear|angAtual|angDesejado|erroAng|SaidaControleAngular|SinalDeControle1|SinalDeControle2|
20170120_145930|7562|1|0,000001|0||0||0|0|0|0||||||||||||
20170120_145930|7851|2|3,802281|0||0||0|0|0|0||||||||||||
20170120_145931|7985|3|7,751938|0||0||0|0|0|0||||||||||||
20170120_145931|8146|4|8,620690|0||0||0|0|0|0||||||||||||
20170120_145931|8258|5|5,988024|0||0||0|0|0|0||||||||||||
20170120_145931|8391|6|7,194245|0||0||0|0|0|0||||||||||||
20170120_145931|8488|7|10,526316|0||0||0|0|0|0||||||||||||
20170120_145931|8595|8|10,204082|0||0||0|0|0|0||||||||||||
20170120_145931|8711|9|10,416667|0||0||0|0|0|0||||||||||||
20170120_145932|8862|10|7,462687|0||0||0|0|0|0||||||||||||
20170120_145932|9011|11|6,896552|0||0||0|0|0|0||||||||||||
20170120_145932|9108|12|6,944444|0||0||0|0|0|0||||||||||||
20170120_145932|9188|13|11,111111|0||0||0|0|0|0||||||||||||
20170120_145932|9293|14|10,869565|0||0||0|0|0|0||||||||||||
20170120_145932|9379|15|10,101010|0||0||0|0|0|0||||||||||||
20170120_145932|9468|16|10,989011|0||0||0|0|0|0||||||||||||
20170120_145932|9558|17|11,235955|0||0||0|0|0|0||||||||||||
20170120_145932|9658|18|10,752688|0||0||0|0|0|0||||||||||||
20170120_145932|9808|19|7,092199|0||0||0|0|0|0||||||||||||
20170120_145933|9939|20|7,042254|0||0||0|0|0|0||||||||||||
20170120_145933|10033|21|10,638298|0||0||0|0|0|0||||||||||||
20170120_145933|10123|22|10,752688|0||0||0|0|0|0||||||||||||
20170120_145933|10221|23|10,638298|0||0||0|0|0|0||||||||||||
20170120_145933|10312|24|10,752688|0||0||0|0|0|0||||||||||||
20170120_145933|10406|25|10,638298|0||0||0|0|0|0||||||||||||
20170120_145933|10500|26|10,638298|0||0||0|0|0|0||||||||||||
20170120_145933|10588|27|10,526316|0||0||0|0|0|0||||||||||||
20170120_145933|10684|28|10,989011|0||0||0|0|0|0||||||||||||
20170120_145933|10779|29|10,204082|0||0||0|0|0|0||||||||||||
20170120_145934|10877|30|10,869565|0||0||0|0|0|0||||||||||||
20170120_145934|10972|31|10,204082|0||0||0|0|0|0||||||||||||
20170120_145934|11073|32|10,752688|0||0||0|0|0|0||||||||||||
20170120_145934|11152|33|11,111111|0||0||0|0|0|0||||||||||||
20170120_145934|11270|34|9,803922|0||0||0|0|0|0||||||||||||
20170120_145934|11358|35|9,615385|0||0||0|0|0|0||||||||||||
20170120_145934|11437|36|12,820513|0||0||0|0|0|0||||||||||||
20170120_145934|11525|37|11,235955|0||0||0|0|0|0||||||||||||
20170120_145934|11675|38|6,802721|0||0||0|0|0|0||||||||||||
