0.089043,7.74674,-7.11347
0.0505494,4.3978,-4.08897
0.257535,7.57825,-7.35874
0.146202,4.30215,-4.20663
0.426151,7.40963,-7.38752
0.241924,4.20642,-4.20175
0.568786,7.267,-7.24635
0.322898,4.12545,-4.09821
0.708676,7.12711,-6.96604
0.402313,4.04603,-3.92884
0.845873,6.98991,-6.54177
0.480199,3.96815,-3.67556
0.980428,6.85536,-5.98652
0.556586,3.89176,-3.33225
1.11239,6.72339,-5.33574
0.631502,3.81685,-2.96675
1.24686,6.58892,-4.54951
0.707839,3.74051,-2.51045
1.3737,6.46208,-3.74888
0.779844,3.6685,-2.03715
1.49809,6.33769,-2.8808
0.850463,3.59788,-1.54417
1.62009,6.21569,-1.98379
0.919722,3.52863,-1.0312
1.73975,6.09604,-1.06695
0.987648,3.4607,-0.509134
1.85709,5.97869,-0.150245
1.05427,3.39408,0.0682375
1.97218,5.8636,0.712968
1.1196,3.32875,0.49179
2.09041,6.02336,1.61129
1.18368,3.26467,0.956022
2.33623,6.18072,3.28881
1.30855,3.13979,1.74027
2.49299,6.51402,4.37492
1.38234,3.06601,2.11841
2.62337,6.64269,5.15796
1.44136,3.00699,2.39096
2.75555,6.73452,5.78155
1.59424,7.78891,6.81128
2.89261,6.98279,6.45461
1.74418,7.63897,7.14583
3.02904,6.95082,6.74424
1.89123,7.49192,7.32062
3.16284,6.81702,6.78596
2.03545,7.3477,7.34718
3.37076,6.6091,6.54777
2.25955,7.1236,7.02508
3.49763,6.46341,6.20564
2.39668,6.98647,6.64588
3.62205,6.33899,5.76087
2.53117,6.85198,6.14947
3.74602,6.23384,5.22956
2.66478,6.71837,5.53758
3.86566,6.09537,4.57221
2.79411,6.58904,4.82581
3.98336,5.9965,3.86857
2.92095,6.4622,4.03727
4.10179,5.87807,3.08387
3.04858,6.33457,3.15924
4.21458,5.74645,2.23571
3.17052,6.21263,2.25432
4.3252,5.63583,1.43927
3.29011,6.09304,1.40005
4.43281,5.48225,0.618706
3.4074,5.97575,-0.326494
4.62215,5.18215,-0.817099
