1.27296,2.24554,-0.972582,-25.5943,25.5943
1.10596,2.23184,-1.12588,-29.6284,29.6284
0.941512,2.24554,-1.30403,-34.3165,34.3165
0.807873,1.83705,-1.02918,-27.0836,27.0836
0.69338,1.66146,-0.968077,-25.4757,25.4757
0.558491,1.14417,-0.585678,-15.4126,15.4126
0.5247,0.909753,-0.385053,-10.133,10.133
0.531856,0.785398,-0.253542,-6.67216,6.67216
0.573038,0.661043,-0.0880049,-2.31592,2.31592
0.644704,0.661043,-0.0163391,-0.429976,0.429976
0.746585,0.54042,0.206165,5.4254,-5.4254
0.868944,0.661043,0.207901,5.47108,-5.47108
1.01692,0.661043,0.355877,9.36519,-9.36519
1.18224,0.661043,0.521197,13.7157,-13.7157
1.35586,0.661043,0.694818,18.2847,-18.2847
1.54777,0.661043,0.886726,23.3349,-23.3349
1.72486,0.661043,1.06382,27.9952,-27.9952
1.90689,0.661043,1.24584,32.7854,-32.7854
2.07298,0.909753,1.16323,30.6112,-30.6112
2.22555,1.03038,1.19517,31.4519,-31.4519
2.36452,1.10715,1.25737,33.0888,-33.0888
2.4725,1.5708,0.901702,23.729,-23.729
2.55086,1.73595,0.81491,21.445,-21.445
2.60018,2.11122,0.488962,12.8674,-12.8674
2.61793,2.35619,0.261732,6.8877,-6.8877
2.60394,2.46685,0.137093,3.6077,-3.6077
2.55631,2.60117,-0.0448661,-1.18069,1.18069
2.47945,2.60117,-0.121728,-3.20336,3.20336
2.37092,2.48055,-0.109625,-2.88486,2.88486
2.24235,2.48055,-0.238197,-6.26834,6.26834
2.09192,2.48055,-0.388626,-10.227,10.227
1.9218,2.60117,-0.679368,-17.8781,17.8781
1.73851,2.60117,-0.862661,-22.7016,22.7016
1.55369,2.60117,-1.04748,-27.5654,27.5654
1.36747,2.35619,-0.988728,-26.0192,26.0192
1.19695,2.48055,-1.2836,-33.779,33.779
1.03377,2.11122,-1.07745,-28.3538,28.3538
0.882229,2.11122,-1.22899,-32.3418,32.3418
0.746585,1.73595,-0.98936,-26.0358,26.0358
0.652181,1.48014,-0.827956,-21.7883,21.7883
0.57732,1.24905,-0.671725,-17.677,17.677
0.534515,1.00407,-0.469552,-12.3566,12.3566
0.524095,0.785398,-0.261303,-6.8764,6.8764
0.547404,0.674741,-0.127337,-3.35098,3.35098
0.600318,0.661043,-0.0607252,-1.59803,1.59803
0.682761,0.674741,0.00802024,0.211059,-0.211059
0.794488,0.674741,0.119747,3.15123,-3.15123
0.928962,0.674741,0.254221,6.69002,-6.69002
1.09011,0.674741,0.415369,10.9308,-10.9308
1.25597,0.661043,0.594925,15.6559,-15.6559
1.43694,0.661043,0.775894,20.4183,-20.4183
1.62604,0.54042,1.08562,28.569,-28.569
1.80373,0.661043,1.14268,30.0707,-30.0707
1.98367,0.661043,1.32262,34.8059,-34.8059
2.15177,0.909753,1.24201,32.6846,-32.6846
2.28909,0.896055,1.39303,36.6588,-36.6588
2.4145,1.48014,0.934366,24.5886,-24.5886
