-85,85,-148.016,785.398,0,0.165149,59,130,-3.1059,0,0,0,
-85,85,-146.379,785.398,0,0.0767719,60,130,-3.0636,0,0,0,
-85,85,-141.449,785.398,0,0.463648,59,130,-3.0405,0,0,0,
-85,85,-127.085,785.398,0,1.5708,59,131,-2.9937,0,0,0,
-85,85,-122.332,785.398,0,1.89255,59,131,-2.9643,0,0,0,
-85,74.0916,-107.693,785.398,0,3.30674,58,130,-2.9358,0,0,0,
-85,65.8753,-99.8879,785.398,0,3.92699,59,130,-2.9076,0,0,0,
-85,53.7974,-88.4139,785.398,0,4.93919,59,130,-2.8806,0,0,0,
-85,44.3821,-79.4694,785.398,0,5.71646,59,130,-2.8569,0,0,0,
-85,31.4281,-67.1631,785.398,0,6.60494,61,131,-2.811,0,0,0,
-85,27.0989,-63.0503,785.398,0,6.95793,61,130,-2.7822,0,0,0,
-85,10.2328,-47.0276,785.398,0,8.08078,62,134,-2.7519,0,0,0,
-80.3265,1.78664,-39.0037,785.398,0,8.63938,60,136,-2.7249,0,0,0,
-75.0323,-3.50748,-33.9743,785.398,0,8.96113,58,137,-2.6958,0,0,0,
-64.6574,-13.8824,-24.1182,785.398,0,9.85141,52,136,-2.6445,0,0,0,
-58.7633,-19.7765,-18.5187,785.398,0,10.4552,50,133,-2.5977,0,0,0,
-57.1056,-21.4342,-16.9439,785.398,0,10.5689,49,132,-2.5686,0,0,0,
-54.7901,-23.7497,-14.7442,785.398,0,11.0723,48,127,-2.5395,0,0,0,
-52.8171,-25.7227,-12.8698,785.398,0,11.3173,49,125,-2.5131,0,0,0,
-51.2916,-27.2482,-11.4206,785.398,0,11.4592,50,123,-2.4717,0,0,0,
-49.7135,-28.8263,-9.92145,785.398,0,11.6813,52,120,-2.4285,0,0,0,
-46.0977,-32.4421,-6.48637,785.398,0,12.1027,57,116,-2.3787,0,0,0,
-45.1447,-33.3951,-5.58108,785.398,0,12.1397,59,115,-2.3559,0,0,0,
-43.7461,-34.7937,-4.25242,785.398,0,12.1992,61,114,-2.3319,0,0,0,
-40.9605,-37.5793,-1.60608,785.398,0,12.3001,63,114,-2.3088,0,0,0,
-38.3346,-40.2052,0.888495,785.398,0,12.4012,65,113,-2.2728,0,0,0,
-34.185,-44.3548,4.83063,785.398,0,12.4896,69,113,-2.2479,0,0,0,
-31.1426,-47.3972,7.72093,785.398,0,12.4896,72,113,-2.2185,0,0,0,
-29.1914,-49.3484,9.57458,785.398,0,12.4896,74,112,-2.1876,0,0,0,
-27.7512,-50.7886,10.9428,785.398,0,12.4012,76,112,-2.163,0,0,0,
-24.9437,-53.5961,13.6099,785.398,0,12.4012,79,111,-2.1357,0,0,0,
-23.8437,-54.6961,14.6549,785.398,0,12.1992,82,111,-2.1123,0,0,0,
-23.5744,-54.9654,14.9107,785.398,0,12.1027,83,110,-2.0883,0,0,0,
-21.3336,-57.2062,17.0395,785.398,0,12.1027,85,109,-2.0622,0,0,0,
-19.4032,-59.1366,18.8734,785.398,0,11.781,90,106,-2.0106,0,0,0,
-18.6185,-59.9213,19.6189,785.398,0,11.6813,91,105,-1.977,0,0,0,
-19.0455,-59.4943,19.2131,785.398,0,11.4222,93,102,-1.9512,0,0,0,
-19.433,-59.1068,18.8451,785.398,0,11.2224,94,99,-1.9242,0,0,0,
